avg_duration_sec,crossover_rps
0.01,14.50486700653501
0.02,9.683413629000361
0.03,7.267634124978828
0.04,5.704190847303133
0.05,3.884610681384511
0.060000000000000005,2.5611288259393916
0.06999999999999999,1.8481426539840944
0.08,1.4483083448734315
0.09,1.194554121792369
0.09999999999999999,1.0185437596135414
0.11,0.888842527168329
0.12,0.7890549234564773
0.13,0.7097711851803862
0.14,0.6451870839292192
0.15000000000000002,0.591518806856924
0.16,0.5461879240610564
0.17,0.5073754084298413
0.18000000000000002,0.4737588511440415
0.19,0.4443531011971406
0.2,0.4184086880128467
0.21000000000000002,0.395344972569122
0.22,0.3747049243051836
0.23,0.35612376678690705
0.24000000000000002,0.33930672918716026
0.25,0.3240129620038087
0.26,0.3100437316704087
0.27,0.2972334542816688
0.28,0.2854432326698807
0.29000000000000004,0.27455552992437504
0.3,0.2644703276512969
0.31,0.25510160686860367
0.32,0.2463757301959095
0.33,0.23822847082133417
0.34,0.23060376469359703
0.35000000000000003,0.2234530522944259
0.36000000000000004,0.21673338120035315
0.37,0.21040686232598838
0.38,0.204439717315592
0.39,0.19880231708518611
0.4,0.19346795880362314
0.41000000000000003,0.1884128111457518
0.42000000000000004,0.18361548117232468
0.43,0.1790567098473874
0.44,0.1747191121262906
0.45,0.17058695416809833
0.46,0.16664596162272444
0.47000000000000003,0.16288315404748782
0.48000000000000004,0.15928670943387052
0.49,0.15584580427336095
0.5,0.1525505626355993
