timestamp,deployment_mode,rps_target,rps_actual,latency_ms,is_cold_start,status_code,error
1787684423.4656634,managed,1.0,1.0,216.351,True,200,
1787684424.4656634,managed,1.0,1.0,31.91,False,200,
1787684425.4656634,managed,1.0,1.0,36.375,False,200,
1787684426.4656634,managed,1.0,1.0,31.234,False,200,
1787684427.4656634,managed,1.0,1.0,44.837,False,200,
1787684428.4656634,managed,1.0,1.0,38.348,False,200,
1787684429.4656634,managed,1.0,1.0,30.93,False,200,
1787684430.4656634,managed,1.0,1.0,27.37,False,200,
1787684431.4656634,managed,1.0,1.0,39.114,False,200,
1787684432.4656634,managed,1.0,1.0,32.01,False,200,
1787684433.4656634,managed,1.0,1.0,37.064,False,200,
1787684434.4656634,managed,1.0,1.0,39.85,False,200,
1787684435.4656634,managed,1.0,1.0,38.619,False,200,
1787684436.4656634,managed,1.0,1.0,29.542,False,200,
1787684437.4656634,managed,1.0,1.0,31.077,False,200,
1787684438.4656634,managed,1.0,1.0,35.668,False,200,
1787684439.4656634,managed,1.0,1.0,34.481,False,200,
1787684440.4656634,managed,1.0,1.0,34.227,False,200,
1787684441.4656634,managed,1.0,1.0,36.186,False,200,
1787684442.4656634,managed,1.0,1.0,28.828,False,200,
1787684443.4656634,managed,1.0,1.0,29.531,False,200,
1787684444.4656634,managed,1.0,1.0,34.898,False,200,
1787684445.4656634,managed,1.0,1.0,27.393,False,200,
1787684446.4656634,managed,1.0,1.0,36.828,False,200,
1787684447.4656634,managed,1.0,1.0,33.71,False,200,
1787684448.4656634,managed,1.0,1.0,34.368,False,200,
1787684449.4656634,managed,1.0,1.0,38.232,False,200,
1787684450.4656634,managed,1.0,1.0,38.109,False,200,
1787684451.4656634,managed,1.0,1.0,47.633,False,200,
1787684452.4656634,managed,1.0,1.0,28.391,False,200,
1787684453.4656634,managed,1.0,1.0,37.293,False,200,
1787684454.4656634,managed,1.0,1.0,31.518,False,200,
1787684455.4656634,managed,1.0,1.0,33.375,False,200,
1787684456.4656634,managed,1.0,1.0,35.934,False,200,
1787684457.4656634,managed,1.0,1.0,33.715,False,200,
1787684458.4656634,managed,1.0,1.0,31.869,False,200,
1787684459.4656634,managed,1.0,1.0,27.957,False,200,
1787684460.4656634,managed,1.0,1.0,29.162,False,200,
1787684461.4656634,managed,1.0,1.0,40.231,False,200,
1787684462.4656634,managed,1.0,1.0,30.176,False,200,
1787684463.4656634,managed,1.0,1.0,30.616,False,200,
1787684464.4656634,managed,1.0,1.0,36.635,False,200,
1787684465.4656634,managed,1.0,1.0,32.281,False,200,
1787684466.4656634,managed,1.0,1.0,38.932,False,200,
1787684467.4656634,managed,1.0,1.0,39.53,False,200,
1787684468.4656634,managed,1.0,1.0,38.744,False,200,
1787684469.4656634,managed,1.0,1.0,29.097,False,200,
1787684470.4656634,managed,1.0,1.0,41.183,False,200,
1787684471.4656634,managed,1.0,1.0,34.935,False,200,
1787684472.4656634,managed,1.0,1.0,30.571,False,200,
1787684473.4656634,managed,1.0,1.0,38.587,False,200,
1787684474.4656634,managed,1.0,1.0,44.627,False,200,
1787684475.4656634,managed,1.0,1.0,33.256,False,200,
1787684476.4656634,managed,1.0,1.0,43.71,False,200,
